GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Portal-Core,org.auscope.portal.core.server,PortalPropertySourcesPlaceholderConfigurer,99,0,10,0,25,0,8,0,3,0
Portal-Core,org.auscope.portal.core.server,PortalProfileXmlWebApplicationContext,24,0,2,0,5,0,3,0,2,0
Portal-Core,org.auscope.portal.core.server,OgcServiceProviderType,0,36,0,2,0,6,0,3,0,2
Portal-Core,org.auscope.portal.core.services.methodmakers,GeonetworkMethodMaker,210,0,0,0,39,0,7,0,7,0
Portal-Core,org.auscope.portal.core.services.methodmakers,SOSMethodMaker,4,295,8,18,1,61,8,8,0,3
Portal-Core,org.auscope.portal.core.services.methodmakers,CSWMethodMakerGetDataRecords.ResultType,0,15,0,0,0,3,0,1,0,1
Portal-Core,org.auscope.portal.core.services.methodmakers,VocabularyMethodMaker,53,256,2,15,9,52,4,19,2,11
Portal-Core,org.auscope.portal.core.services.methodmakers,OPeNDAPGetDataMethodMaker,65,336,11,36,12,62,11,21,0,8
Portal-Core,org.auscope.portal.core.services.methodmakers,WMSMethodMaker,260,898,32,20,51,136,31,11,6,10
Portal-Core,org.auscope.portal.core.services.methodmakers,VocabularyMethodMaker.View,0,27,0,0,0,5,0,1,0,1
Portal-Core,org.auscope.portal.core.services.methodmakers,WFSGetFeatureMethodMaker,284,451,18,44,51,88,26,29,11,12
Portal-Core,org.auscope.portal.core.services.methodmakers,WCSMethodMaker,74,329,15,43,12,61,14,19,1,3
Portal-Core,org.auscope.portal.core.services.methodmakers,OPeNDAPGetDataMethodMaker.OPeNDAPFormat,0,15,0,0,0,3,0,1,0,1
Portal-Core,org.auscope.portal.core.services.methodmakers,CSWMethodMaker,89,0,0,0,16,0,3,0,3,0
Portal-Core,org.auscope.portal.core.services.methodmakers,GoogleCloudMonitoringMethodMaker,0,100,0,4,0,23,0,4,0,2
Portal-Core,org.auscope.portal.core.services.methodmakers,WFSGetFeatureMethodMaker.ResultType,0,15,0,0,0,3,0,1,0,1
Portal-Core,org.auscope.portal.core.services.methodmakers,VocabularyMethodMaker.Format,0,27,0,0,0,5,0,1,0,1
Portal-Core,org.auscope.portal.core.services.methodmakers,CSWMethodMakerGetDataRecords,105,298,19,30,19,73,21,16,5,6
Portal-Core,org.auscope.portal.core.services.methodmakers,WMS_1_3_0_MethodMaker,250,899,32,20,50,136,30,12,5,11
Portal-Core,org.auscope.portal.core.services.methodmakers,AbstractMethodMaker,0,125,0,18,0,23,0,12,0,3
Portal-Core,org.auscope.portal.core.xslt,GmlToHtml,0,25,0,0,0,6,0,2,0,2
Portal-Core,org.auscope.portal.core.xslt,WfsToKmlTransformer,41,0,0,0,9,0,5,0,5,0
Portal-Core,org.auscope.portal.core.xslt,ResourceURIResolver,7,34,0,2,3,7,1,3,1,2
Portal-Core,org.auscope.portal.core.xslt,PortalXSLTTransformer,28,116,1,3,7,26,2,5,1,4
Portal-Core,org.auscope.portal.core.services.responses.vocab,DescriptionFactory,45,486,16,44,13,91,14,25,0,9
Portal-Core,org.auscope.portal.core.services.responses.vocab,NamedIndividual,5,23,1,3,2,7,2,4,1,3
Portal-Core,org.auscope.portal.core.services.responses.vocab,Description,11,115,3,11,4,35,3,21,1,16
Portal-Core,org.auscope.portal.core.services.responses.vocab,ConceptFactory,14,315,5,19,5,54,5,14,0,7
Portal-Core,org.auscope.portal.core.services.responses.vocab,Concept,11,140,3,11,4,43,3,25,1,20
Portal-Core,org.auscope.portal.core.services.responses.search,FacetedMultiSearchResponse,0,51,0,0,0,18,0,9,0,9
Portal-Core,org.auscope.portal.core.services.responses.search,FacetedSearchResponse,3,28,0,0,1,12,1,8,1,8
Portal-Core,org.auscope.portal.core.services.responses.wfs,WFSCountResponse,0,9,0,0,0,4,0,2,0,2
Portal-Core,org.auscope.portal.core.services.responses.wfs,WFSTransformedResponse,6,29,0,0,2,10,2,4,2,4
Portal-Core,org.auscope.portal.core.services.responses.wfs,WFSGetCapabilitiesResponse,6,44,0,0,2,18,2,8,2,8
Portal-Core,org.auscope.portal.core.services.responses.wfs,WFSResponse,0,15,0,0,0,6,0,3,0,3
Portal-Core,org.auscope.portal.core.services.responses.stackdriver,ServiceStatusResponse,0,15,0,0,0,6,0,3,0,3
Portal-Core,org.auscope.portal.core.services.responses.wcs,TemporalDomainFactory,21,18,3,1,4,4,3,1,1,1
Portal-Core,org.auscope.portal.core.services.responses.wcs,RangeSetImpl,3,115,0,6,1,21,1,8,1,5
Portal-Core,org.auscope.portal.core.services.responses.wcs,SimpleTimePeriod,51,0,0,0,12,0,4,0,4,0
Portal-Core,org.auscope.portal.core.services.responses.wcs,GetCapabilitiesRecord_1_0_0,57,135,0,6,19,34,2,8,2,5
Portal-Core,org.auscope.portal.core.services.responses.wcs,DescribeCoverageRecord,42,387,2,22,14,71,3,24,1,14
Portal-Core,org.auscope.portal.core.services.responses.wcs,Resolution,18,47,1,5,6,10,4,7,3,5
